,Từ khóa,Chỉ số tài liệu,Tần số
0,experiment,0,2
1,experiment,10,1
2,experiment,11,1
3,experiment,15,1
4,experiment,16,1
5,experiment,18,1
6,experiment,24,1
7,experiment,28,1
8,experiment,29,2
9,experiment,34,1
10,experiment,36,1
11,experiment,40,1
12,experiment,41,1
13,experiment,42,1
14,experiment,46,1
15,experiment,51,1
16,experiment,52,1
17,experiment,57,1
18,experiment,68,1
19,experiment,69,1
20,experiment,73,1
21,experiment,77,2
22,experiment,83,2
23,experiment,98,2
24,experiment,100,1
25,experiment,102,1
26,experiment,111,1
27,experiment,114,1
28,experiment,120,1
29,experiment,122,3
30,experiment,130,1
31,experiment,136,1
32,experiment,139,1
33,experiment,141,1
34,experiment,153,1
35,experiment,155,1
36,experiment,166,1
37,experiment,167,1
38,experiment,169,1
39,experiment,170,2
40,experiment,172,2
41,experiment,175,1
42,experiment,178,2
43,experiment,182,1
44,experiment,183,1
45,experiment,185,3
46,experiment,186,1
47,experiment,187,1
48,experiment,188,1
49,experiment,190,1
50,experiment,194,3
51,experiment,196,2
52,experiment,201,1
53,experiment,202,1
54,experiment,205,2
55,experiment,206,2
56,experiment,211,1
57,experiment,215,1
58,experiment,219,1
59,experiment,221,1
60,experiment,224,2
61,experiment,226,1
62,experiment,229,1
63,experiment,233,4
64,experiment,244,1
65,experiment,250,1
66,experiment,255,2
67,experiment,256,1
68,experiment,261,1
69,experiment,270,2
70,experiment,272,1
71,experiment,276,1
72,experiment,281,1
73,experiment,282,1
74,experiment,285,1
75,experiment,286,1
76,experiment,288,1
77,experiment,293,1
78,experiment,294,1
79,experiment,303,1
80,experiment,306,1
81,experiment,328,2
82,experiment,329,2
83,experiment,333,2
84,experiment,337,1
85,experiment,338,1
86,experiment,343,2
87,experiment,344,1
88,experiment,345,3
89,experiment,346,1
90,experiment,353,1
91,experiment,359,1
92,experiment,368,1
93,experiment,369,1
94,experiment,371,2
95,experiment,376,1
96,experiment,396,1
97,experiment,408,1
98,experiment,410,2
99,experiment,412,2
100,experiment,417,1
101,experiment,419,1
102,experiment,420,1
103,experiment,422,1
104,experiment,426,1
105,experiment,432,1
106,experiment,434,1
107,experiment,438,1
108,experiment,440,2
109,experiment,441,3
110,experiment,442,1
111,experiment,452,1
112,experiment,454,2
113,experiment,461,1
114,experiment,463,1
115,experiment,466,1
116,experiment,483,3
117,experiment,493,2
118,experiment,495,1
119,experiment,496,1
120,experiment,497,1
121,experiment,500,1
122,experiment,502,1
123,experiment,503,1
124,experiment,504,1
125,experiment,510,1
126,experiment,516,1
127,experiment,517,2
128,experiment,518,1
129,experiment,519,2
130,experiment,521,3
131,experiment,535,1
132,experiment,539,1
133,experiment,543,2
134,experiment,548,1
135,experiment,551,2
136,experiment,552,1
137,experiment,557,1
138,experiment,562,1
139,experiment,566,1
140,experiment,568,1
141,experiment,571,4
142,experiment,575,1
143,experiment,587,1
144,experiment,594,1
145,experiment,599,1
146,experiment,605,1
147,experiment,609,1
148,experiment,631,1
149,experiment,633,1
150,experiment,634,1
151,experiment,635,1
152,experiment,643,1
153,experiment,644,1
154,experiment,648,1
155,experiment,657,1
156,experiment,661,1
157,experiment,662,2
158,experiment,665,2
159,experiment,669,1
160,experiment,674,1
161,experiment,677,1
162,experiment,678,1
163,experiment,684,3
164,experiment,687,3
165,experiment,688,2
166,experiment,693,1
167,experiment,703,2
168,experiment,711,1
169,experiment,712,1
170,experiment,716,1
171,experiment,719,1
172,experiment,724,1
173,experiment,727,1
174,experiment,728,1
175,experiment,738,1
176,experiment,739,1
177,experiment,742,1
178,experiment,752,1
179,experiment,759,3
180,experiment,763,1
181,experiment,765,3
182,experiment,766,3
183,experiment,771,2
184,experiment,780,2
185,experiment,789,1
186,experiment,800,2
187,experiment,801,1
188,experiment,805,1
189,experiment,815,1
190,experiment,819,1
191,experiment,822,2
192,experiment,824,1
193,experiment,826,2
194,experiment,828,1
195,experiment,829,1
196,experiment,835,4
197,experiment,843,1
198,experiment,844,2
199,experiment,845,1
200,experiment,846,1
201,experiment,855,3
202,experiment,856,2
203,experiment,857,2
204,experiment,862,2
205,experiment,865,2
206,experiment,866,1
207,experiment,868,1
208,experiment,877,1
209,experiment,880,1
210,experiment,886,1
211,experiment,890,2
212,experiment,906,1
213,experiment,910,1
214,experiment,911,2
215,experiment,922,1
216,experiment,923,1
217,experiment,926,3
218,experiment,927,3
219,experiment,931,2
220,experiment,934,2
221,experiment,945,2
222,experiment,949,3
223,experiment,950,1
224,experiment,953,2
225,experiment,954,1
226,experiment,958,1
227,experiment,960,1
228,experiment,963,1
229,experiment,964,1
230,experiment,972,1
231,experiment,973,1
232,experiment,983,2
233,experiment,985,3
234,experiment,995,1
235,experiment,996,3
236,experiment,998,1
237,experiment,1005,1
238,experiment,1007,1
239,experiment,1015,1
240,experiment,1018,3
241,experiment,1027,1
242,experiment,1038,3
243,experiment,1039,1
244,experiment,1044,1
245,experiment,1045,1
246,experiment,1048,2
247,experiment,1050,1
248,experiment,1061,2
249,experiment,1065,4
250,experiment,1068,1
